Start (s),End (s),Scientific name,Common name,Confidence,ID,Year,Month,Day,Time,Latitude,Longitude,Elevation,Habitant
885,888,phylloscopus humei,hume's warbler,0.5616,psh10,2024,6,4,6,33.13514,76.463139,3664,1
888,891,anthus hodgsoni,olive-backed pipit,0.6005,psh10,2024,6,4,6,33.13514,76.463139,3664,1
888,891,turdus iliacus,redwing,0.5051,psh10,2024,6,4,6,33.13514,76.463139,3664,0
894,897,phylloscopus nitidus,green warbler,0.6824,psh10,2024,6,4,6,33.13514,76.463139,3664,0
12,15,phylloscopus trochiloides,greenish warbler,0.7914,psh10,2024,6,4,7,33.13514,76.463139,3664,1
12,15,phylloscopus nitidus,green warbler,0.7388,psh10,2024,6,4,7,33.13514,76.463139,3664,0
30,33,phylloscopus nitidus,green warbler,0.6437,psh10,2024,6,4,7,33.13514,76.463139,3664,0
42,45,phylloscopus nitidus,green warbler,0.8169,psh10,2024,6,4,7,33.13514,76.463139,3664,0
48,51,phylloscopus nitidus,green warbler,0.6619,psh10,2024,6,4,7,33.13514,76.463139,3664,0
48,51,phylloscopus trochiloides,greenish warbler,0.5672,psh10,2024,6,4,7,33.13514,76.463139,3664,1
78,81,calliope pectoralis,himalayan rubythroat,0.6495,psh10,2024,6,4,7,33.13514,76.463139,3664,1
81,84,phylloscopus humei,hume's warbler,0.8448,psh10,2024,6,4,7,33.13514,76.463139,3664,1
102,105,prunella modularis,dunnock,0.7583,psh10,2024,6,4,7,33.13514,76.463139,3664,0
108,111,prunella modularis,dunnock,0.5442,psh10,2024,6,4,7,33.13514,76.463139,3664,0
141,144,phylloscopus nitidus,green warbler,0.8048,psh10,2024,6,4,7,33.13514,76.463139,3664,0
156,159,phylloscopus nitidus,green warbler,0.5345,psh10,2024,6,4,7,33.13514,76.463139,3664,0
165,168,phylloscopus nitidus,green warbler,0.5511,psh10,2024,6,4,7,33.13514,76.463139,3664,0
171,174,phylloscopus nitidus,green warbler,0.9339,psh10,2024,6,4,7,33.13514,76.463139,3664,0
234,237,phylloscopus pulcher,buff-barred warbler,0.8416,psh10,2024,6,4,7,33.13514,76.463139,3664,1
330,333,phylloscopus pulcher,buff-barred warbler,0.7821,psh10,2024,6,4,7,33.13514,76.463139,3664,1
360,363,phylloscopus pulcher,buff-barred warbler,0.8648,psh10,2024,6,4,7,33.13514,76.463139,3664,1
375,378,phylloscopus nitidus,green warbler,0.7852,psh10,2024,6,4,7,33.13514,76.463139,3664,0
393,396,phylloscopus nitidus,green warbler,0.7845,psh10,2024,6,4,7,33.13514,76.463139,3664,0
399,402,phylloscopus nitidus,green warbler,0.6269,psh10,2024,6,4,7,33.13514,76.463139,3664,0
399,402,phylloscopus trochiloides,greenish warbler,0.5521,psh10,2024,6,4,7,33.13514,76.463139,3664,1
417,420,phylloscopus humei,hume's warbler,0.6903,psh10,2024,6,4,7,33.13514,76.463139,3664,1
420,423,phylloscopus nitidus,green warbler,0.5257,psh10,2024,6,4,7,33.13514,76.463139,3664,0
426,429,phylloscopus humei,hume's warbler,0.5536,psh10,2024,6,4,7,33.13514,76.463139,3664,1
432,435,phylloscopus nitidus,green warbler,0.7657,psh10,2024,6,4,7,33.13514,76.463139,3664,0
