Start (s),End (s),Common name,Confidence,ID,Month,Day,Time,Latitude,Longitude,Elevation,Habitant,Elevation_type
375.0,378.0,green warbler,0.7852,psh10,6,4,7,33.13514,76.463139,3664,0,high
393.0,396.0,green warbler,0.7845,psh10,6,4,7,33.13514,76.463139,3664,0,high
399.0,402.0,green warbler,0.6269,psh10,6,4,7,33.13514,76.463139,3664,0,high
399.0,402.0,greenish warbler,0.5521,psh10,6,4,7,33.13514,76.463139,3664,1,high
417.0,420.0,hume's warbler,0.6903,psh10,6,4,7,33.13514,76.463139,3664,1,high
420.0,423.0,green warbler,0.5257,psh10,6,4,7,33.13514,76.463139,3664,0,high
426.0,429.0,hume's warbler,0.5536,psh10,6,4,7,33.13514,76.463139,3664,1,high
432.0,435.0,green warbler,0.7657,psh10,6,4,7,33.13514,76.463139,3664,0,high
435.0,438.0,buff-barred warbler,0.6556,psh10,6,4,7,33.13514,76.463139,3664,1,high
438.0,441.0,green warbler,0.79,psh10,6,4,7,33.13514,76.463139,3664,0,high
444.0,447.0,green warbler,0.8503,psh10,6,4,7,33.13514,76.463139,3664,0,high
459.0,462.0,green warbler,0.7301,psh10,6,4,7,33.13514,76.463139,3664,0,high
462.0,465.0,green warbler,0.9562,psh10,6,4,7,33.13514,76.463139,3664,0,high
480.0,483.0,green warbler,0.5558,psh10,6,4,7,33.13514,76.463139,3664,0,high
486.0,489.0,green warbler,0.6673,psh10,6,4,7,33.13514,76.463139,3664,0,high
489.0,492.0,green warbler,0.6234,psh10,6,4,7,33.13514,76.463139,3664,0,high
492.0,495.0,green warbler,0.7977,psh10,6,4,7,33.13514,76.463139,3664,0,high
492.0,495.0,greenish warbler,0.7378,psh10,6,4,7,33.13514,76.463139,3664,1,high
495.0,498.0,hume's warbler,0.9627,psh10,6,4,7,33.13514,76.463139,3664,1,high
510.0,513.0,green warbler,0.5635,psh10,6,4,7,33.13514,76.463139,3664,0,high
510.0,513.0,greenish warbler,0.5442,psh10,6,4,7,33.13514,76.463139,3664,1,high
