Start (s),End (s),Scientific name,Common name,Confidence,File
831.0,834.0,Luscinia phaenicuroides,White-bellied Redstart,0.9328,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Low/PSL1\20240708_050000.WAV
834.0,837.0,Luscinia phaenicuroides,White-bellied Redstart,0.5049,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Low/PSL1\20240708_050000.WAV
837.0,840.0,Luscinia phaenicuroides,White-bellied Redstart,0.6723,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Low/PSL1\20240708_050000.WAV
840.0,843.0,Phylloscopus occipitalis,Western Crowned Warbler,0.6187,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Low/PSL1\20240708_050000.WAV
843.0,846.0,Luscinia phaenicuroides,White-bellied Redstart,0.7940,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Low/PSL1\20240708_050000.WAV
843.0,846.0,Cyanoptila cyanomelana,Blue-and-white Flycatcher,0.5074,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Low/PSL1\20240708_050000.WAV
846.0,849.0,Phylloscopus occipitalis,Western Crowned Warbler,0.7816,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Low/PSL1\20240708_050000.WAV
846.0,849.0,Luscinia phaenicuroides,White-bellied Redstart,0.6392,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Low/PSL1\20240708_050000.WAV
849.0,852.0,Luscinia phaenicuroides,White-bellied Redstart,0.8011,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Low/PSL1\20240708_050000.WAV
852.0,855.0,Luscinia phaenicuroides,White-bellied Redstart,0.6273,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Low/PSL1\20240708_050000.WAV
855.0,858.0,Luscinia phaenicuroides,White-bellied Redstart,0.8177,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Low/PSL1\20240708_050000.WAV
