Start (s),End (s),Scientific name,Common name,Confidence,File
612.0,615.0,Phylloscopus trochiloides,Greenish Warbler,0.3983,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Field_data_High/PSH7\20240630_050000.WAV
615.0,618.0,Phylloscopus reguloides,Blyth's Leaf Warbler,0.1536,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Field_data_High/PSH7\20240630_050000.WAV
618.0,621.0,Phylloscopus trochiloides,Greenish Warbler,0.9445,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Field_data_High/PSH7\20240630_050000.WAV
621.0,624.0,Phylloscopus nitidus,Green Warbler,0.5000,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Field_data_High/PSH7\20240630_050000.WAV
621.0,624.0,Phylloscopus trochiloides,Greenish Warbler,0.1681,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Field_data_High/PSH7\20240630_050000.WAV
624.0,627.0,Phylloscopus trochiloides,Greenish Warbler,0.3213,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Field_data_High/PSH7\20240630_050000.WAV
627.0,630.0,Phylloscopus trochiloides,Greenish Warbler,0.2663,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Field_data_High/PSH7\20240630_050000.WAV
627.0,630.0,Phylloscopus nitidus,Green Warbler,0.1749,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Field_data_High/PSH7\20240630_050000.WAV
633.0,636.0,Phylloscopus trochiloides,Greenish Warbler,0.2216,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Field_data_High/PSH7\20240630_050000.WAV
642.0,645.0,Phylloscopus nitidus,Green Warbler,0.4684,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Field_data_High/PSH7\20240630_050000.WAV
642.0,645.0,Phylloscopus trochiloides,Greenish Warbler,0.4287,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Field_data_High/PSH7\20240630_050000.WAV
648.0,651.0,Phylloscopus trochiloides,Greenish Warbler,0.8390,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Field_data_High/PSH7\20240630_050000.WAV
648.0,651.0,Phylloscopus nitidus,Green Warbler,0.1886,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Field_data_High/PSH7\20240630_050000.WAV
651.0,654.0,Phylloscopus trochiloides,Greenish Warbler,0.7646,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Field_data_High/PSH7\20240630_050000.WAV
651.0,654.0,Phylloscopus nitidus,Green Warbler,0.3656,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Field_data_High/PSH7\20240630_050000.WAV
654.0,657.0,Phylloscopus trochiloides,Greenish Warbler,0.3711,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Field_data_High/PSH7\20240630_050000.WAV
657.0,660.0,Phylloscopus trochiloides,Greenish Warbler,0.8942,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Field_data_High/PSH7\20240630_050000.WAV
657.0,660.0,Phylloscopus humei,Hume's Warbler,0.2585,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Field_data_High/PSH7\20240630_050000.WAV
660.0,663.0,Phylloscopus trochiloides,Greenish Warbler,0.7136,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Field_data_High/PSH7\20240630_050000.WAV
660.0,663.0,Phylloscopus nitidus,Green Warbler,0.1285,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Field_data_High/PSH7\20240630_050000.WAV
663.0,666.0,Phylloscopus trochiloides,Greenish Warbler,0.2922,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Field_data_High/PSH7\20240630_050000.WAV
666.0,669.0,Phylloscopus trochiloides,Greenish Warbler,0.2089,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Field_data_High/PSH7\20240630_050000.WAV
666.0,669.0,Phylloscopus plumbeitarsus,Two-barred Warbler,0.1501,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Field_data_High/PSH7\20240630_050000.WAV
666.0,669.0,Phylloscopus nitidus,Green Warbler,0.1368,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Field_data_High/PSH7\20240630_050000.WAV
666.0,669.0,Phylloscopus reguloides,Blyth's Leaf Warbler,0.1101,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Field_data_High/PSH7\20240630_050000.WAV
