Start (s),End (s),Scientific name,Common name,Confidence,File
342.0,345.0,Phylloscopus humei,Hume's Warbler,0.2185,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Field_data_Mid/PSM9\20240602_050000.WAV
342.0,345.0,Phylloscopus trochiloides,Greenish Warbler,0.1142,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Field_data_Mid/PSM9\20240602_050000.WAV
345.0,348.0,Phylloscopus humei,Hume's Warbler,0.5683,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Field_data_Mid/PSM9\20240602_050000.WAV
348.0,351.0,Phylloscopus nitidus,Green Warbler,0.1630,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Field_data_Mid/PSM9\20240602_050000.WAV
351.0,354.0,Phylloscopus humei,Hume's Warbler,0.3026,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Field_data_Mid/PSM9\20240602_050000.WAV
351.0,354.0,Phylloscopus affinis,Tickell's Leaf Warbler,0.2272,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Field_data_Mid/PSM9\20240602_050000.WAV
354.0,357.0,Phylloscopus reguloides,Blyth's Leaf Warbler,0.1891,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Field_data_Mid/PSM9\20240602_050000.WAV
357.0,360.0,Phylloscopus humei,Hume's Warbler,0.1882,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Field_data_Mid/PSM9\20240602_050000.WAV
360.0,363.0,Phylloscopus humei,Hume's Warbler,0.1145,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Field_data_Mid/PSM9\20240602_050000.WAV
363.0,366.0,Phylloscopus humei,Hume's Warbler,0.2486,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Field_data_Mid/PSM9\20240602_050000.WAV
372.0,375.0,Phylloscopus humei,Hume's Warbler,0.5455,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Field_data_Mid/PSM9\20240602_050000.WAV
372.0,375.0,Tarsiger rufilatus,Himalayan Bluetail,0.1841,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Field_data_Mid/PSM9\20240602_050000.WAV
372.0,375.0,Zosterops japonicus,Warbling White-eye,0.1040,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Field_data_Mid/PSM9\20240602_050000.WAV
375.0,378.0,Phylloscopus nitidus,Green Warbler,0.4282,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Field_data_Mid/PSM9\20240602_050000.WAV
378.0,381.0,Phylloscopus humei,Hume's Warbler,0.4690,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Field_data_Mid/PSM9\20240602_050000.WAV
381.0,384.0,Zosterops simplex,Swinhoe's White-eye,0.4306,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Field_data_Mid/PSM9\20240602_050000.WAV
381.0,384.0,Zosterops japonicus,Warbling White-eye,0.1824,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Field_data_Mid/PSM9\20240602_050000.WAV
384.0,387.0,Phylloscopus nitidus,Green Warbler,0.8086,C:/Users/shang/OneDrive - Georgia Institute of Technology/HAAG Research Bird Audio/Audio Files Analysis/Field_data_Mid/PSM9\20240602_050000.WAV
